# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2022-06-13T04:23:46
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, volume, page (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2017-12-12 02:50,-------,-------
2017-12-14 03:20, 1.1784,-0.2780
2017-12-16 02:30, 1.6293,-0.2353
2017-12-17 02:30, 0.9712,-0.2603
2017-12-17 03:10, 0.9712,-0.3676
2017-12-19 02:20, 1.1015,-0.2074
2017-12-20 03:00, 1.1864,-0.2780
2017-12-21 02:10, 0.8908,-0.2027
2017-12-22 02:10, 1.1061,-0.4187
2017-12-22 02:50,-------,-------
2017-12-24 02:00, 1.0205,-0.3732
2017-12-27 01:50, 0.8469,-0.3209
2017-12-27 02:30, 1.0182,-0.3431
2017-12-29 01:40, 0.9956,-0.4132
2017-12-30 02:20, 0.9093,-0.2278
2017-12-31 01:30, 1.3199,-0.3917
2018-01-01 01:30, 0.8333,-0.2393
2018-01-02 02:10, 0.8509,-0.4906
2018-01-03 01:20, 1.2217,-0.1695
2018-01-04 02:00, 1.0650,-0.2608
2018-01-06 01:10,-------,-------
2018-01-06 01:50, 1.0205,-0.4252
2018-01-08 01:00, 0.8478,-0.4161
2018-01-09 01:00,-------,-------
2018-01-10 00:50,-------,-------
2018-01-11 01:30, 0.8548,-0.4596
2018-01-13 00:40, 0.7569,-0.2429
2018-01-14 00:40, 0.8747,-0.3118
2018-01-14 01:20, 1.0182,-0.4573
2018-01-16 00:30, 0.8469,-0.3835
2018-01-16 01:10,-------,-------
2018-01-18 00:20, 1.0136,-0.5068
2018-01-19 00:20, 0.9366,-0.3122
2018-01-19 01:00, 0.8199,-0.3300
2018-01-21 00:10, 0.9260,-0.2720
2018-01-24 00:00, 0.8066,-0.2482
2018-01-24 00:40, 1.1393,-0.3914
2018-01-28 23:40, 0.7515,-0.1338
2018-01-29 00:20, 1.0321,-0.2062
2018-02-02 23:20, 0.8848,-0.3495
2018-02-03 00:00, 0.8391,-0.1905
2018-02-05 23:10,-------,-------
2018-02-07 23:40, 0.7916,-0.4132
2018-02-10 22:50, 1.0771,-0.2444
2018-02-12 23:20, 1.0182,-0.3418
2018-02-15 22:30, 0.8687,-0.3920
2018-02-15 23:10, 0.9559,-0.2762
2018-02-17 23:00,-------,-------
2018-02-20 22:10, 0.8241,-0.2703
2018-02-20 22:50, 0.7732,-0.0500
2018-02-24 22:30,-------,-------
2018-02-25 21:50, 1.1090,-0.2037
2018-02-25 22:30, 0.9911,-0.1657
2018-03-02 21:30, 0.9624,-0.3054
2018-03-02 22:10, 1.1495,-0.3153
2018-03-05 21:20, 0.9967,-0.3753
2018-03-07 21:50, 1.1573,-0.2711
2018-03-10 21:00, 0.9733,-0.1889
2018-03-12 21:30, 1.0182,-0.2508
2018-03-15 20:40, 1.0070,-0.4303
2018-03-15 21:20,-------,-0.2972
2018-03-17 21:10,-------,-------
2018-03-20 20:20, 1.1998,-0.3602
2018-03-20 21:00, 1.0771,-0.1513
2018-03-25 20:00, 0.7461,-0.2806
2018-03-25 20:40, 0.9387,-0.3862
2018-03-30 19:40, 1.2726,-0.4598
2018-03-30 20:20, 0.7059,-0.2574
2018-04-02 19:30,-------,-------
2018-04-04 19:20,-------,-------
2018-04-04 20:00, 0.6307,-0.0736
2018-04-07 19:10, 0.8314,-0.4298
2018-04-08 19:50,-------,-------
2018-04-09 19:40, 1.0626,-0.4370
2018-04-12 18:40,-------,-------
2018-04-12 18:50, 0.9409,-0.3341
2018-04-14 19:20, 0.7718,-------
2018-04-15 19:20,-------,-------
2018-04-17 18:30, 0.8372,-0.3993
2018-04-17 19:10, 0.8389,-0.3502
2018-04-18 18:10,-------,-------
2018-04-22 18:10, 0.9135,-0.4351
2018-04-22 18:50, 0.8180,-0.6019
2018-04-27 17:50, 1.0985,-0.4726
2018-04-27 18:30, 0.7222,-0.4908
2018-05-02 17:30, 0.9073,-0.4678
2018-05-02 18:10, 0.7879,-0.5276
