# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes; after binning). 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Mean of observation dates in each bin in UTC (accuracy of 10 min). 
#   2nd column: First observation date in each bin in UTC (accuracy of 10 min). 
#   3rd column: Last observation date in each bin in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band and its standard error (only for Bands 2 and 3). 
# 
#Mean date (UTC),First date (UTC),Last date (UTC) ,Band 02,02_err,Band 03,03_err
2018-07-16 05:33,2018-07-06 09:20,2018-07-23 09:20,    nan,-1.3820,    nan,-2.3220
2018-08-07 12:58,2018-07-28 09:00,2018-08-15 07:50, 4.8739,2.7535, 6.9159,18.7167
2018-08-30 18:45,2018-08-18 06:30,2018-09-12 06:00, 4.7224,3.3688,    nan,-3.3439
2018-09-25 16:51,2018-09-15 04:40,2018-10-08 03:10,    nan,-1.7357, 4.8014,3.0855
2018-10-20 03:31,2018-10-10 04:10,2018-10-31 01:40, 4.5920,1.8676, 8.0073,48.1280
2018-11-11 02:00,2018-11-05 01:20,2018-11-17 01:40, 3.5408,0.5047, 5.5295,6.9733
2018-12-02 10:38,2018-11-22 01:20,2018-12-12 22:50, 3.3328,0.3570, 3.6312,1.7782
2018-12-26 16:04,2018-12-14 23:50,2019-01-06 22:20, 3.4694,0.5014, 2.8953,0.6184
2019-01-20 14:25,2019-01-09 21:00,2019-02-01 19:30, 4.9985,2.6772, 3.2611,0.5437
2019-02-15 06:02,2019-02-03 20:30,2019-03-01 17:40, 5.7495,5.8036, 4.7387,2.9417
2019-03-17 01:43,2019-03-06 17:20,2019-03-29 15:50, 4.6960,1.8084, 4.5778,4.1914
2019-04-12 09:12,2019-04-03 15:30,2019-04-21 14:20,    nan,-1.2388, 3.7079,1.2547
2019-05-07 14:20,2019-04-26 14:00,2019-05-18 13:40,    nan,-2.1298,    nan,-4.4698
2019-06-02 00:40,2019-05-24 12:10,2019-06-10 12:10,    nan,-5.5726,    nan,-0.7946
2019-06-25 15:48,2019-06-15 11:50,2019-07-03 10:40, 3.7118,1.0298, 4.1357,0.9626
2019-07-18 23:52,2019-07-08 10:20,2019-07-29 07:50, 6.5666,13.1867,    nan,-0.9599
2019-08-10 14:06,2019-07-31 08:50,2019-08-21 06:20,    nan,-23.4393,    nan,-0.7245
2019-08-31 11:38,2019-08-26 06:00,2019-09-07 06:20,    nan,-0.6999, 3.6945,0.7563
2019-09-19 23:17,2019-09-09 05:00,2019-09-30 04:50,    nan,-1.2167, 2.5074,0.4306
2019-10-21 09:22,2019-10-05 04:30,2019-11-07 02:20, 3.3836,0.7775, 1.8700,0.2184
2019-11-22 21:03,2019-11-13 00:50,2019-11-30 00:50,    nan,-8.4537, 2.4017,0.2330
2019-12-15 23:38,2019-12-05 00:30,2019-12-25 22:00, 3.2859,0.5246, 3.0907,0.8302
2020-01-09 05:04,2019-12-27 23:00,2020-01-19 21:30, 7.0056,12.6580, 3.0898,1.0730
2020-02-02 04:33,2020-01-22 20:10,2020-02-14 18:40,    nan,-19.0575, 3.6477,2.0461
2020-02-23 15:20,2020-02-16 19:40,2020-03-02 18:40,    nan,-1.3001,    nan,-4.9202
2020-03-18 13:23,2020-03-08 17:10,2020-03-25 17:10,    nan,-3.2577,    nan,-2.6282
2020-04-14 19:27,2020-03-30 16:50,2020-04-27 15:00, 4.9237,2.1875,    nan,-8.0552
2020-05-17 08:44,2020-05-08 13:10,2020-05-25 13:10, 5.0914,3.2794, 5.0207,1.5493
2020-06-11 19:58,2020-05-30 12:50,2020-06-22 11:20,    nan,-4.8543,    nan,-53.8393
2020-07-07 14:58,2020-06-27 11:00,2020-07-15 09:50, 5.2605,4.3121, 3.0665,0.7774
2020-07-31 13:57,2020-07-18 08:30,2020-08-12 08:00, 4.0163,0.6794, 2.8567,0.3147
2020-08-27 18:55,2020-08-15 06:40,2020-09-09 06:10,    nan,-77.2809, 2.6386,0.4875
2020-09-25 01:55,2020-09-12 04:50,2020-10-10 03:00, 3.0674,0.5467, 2.6551,0.4862
2020-10-27 06:27,2020-10-12 04:00,2020-11-09 02:10, 3.5486,0.8823, 2.8778,0.9035
2020-11-22 18:15,2020-11-12 00:50,2020-12-04 23:20, 4.1804,2.2140, 3.4139,1.9607
2020-12-18 23:28,2020-12-07 00:20,2021-01-01 21:30,    nan,-111.1411, 4.4049,1.0589
2021-01-12 22:01,2021-01-03 22:30,2021-01-24 20:00, 3.4769,0.2639, 3.3364,0.5730
2021-02-07 08:10,2021-01-29 19:40,2021-02-15 19:40,    nan,-6.7304,    nan,-1.4938
2021-03-03 14:23,2021-02-21 18:10,2021-03-10 18:10,    nan,-2.1596, 4.2977,1.5377
2021-03-28 04:57,2021-03-15 17:50,2021-04-07 16:20,    nan,-1.0018, 3.6549,0.4793
2021-04-25 04:54,2021-04-12 16:00,2021-05-05 14:30, 3.9899,1.5997,    nan,-3.4467
2021-05-23 05:16,2021-05-10 14:10,2021-06-02 12:40, 3.9787,0.5559,    nan,-29.8745
2021-06-20 03:26,2021-06-07 12:20,2021-06-30 10:50,    nan,-2.8508, 3.6126,1.4633
2021-07-14 02:55,2021-07-03 09:30,2021-07-26 08:00, 4.3933,2.7007, 2.3922,0.6164
2021-08-07 08:21,2021-07-28 09:00,2021-08-18 06:30, 3.8804,1.5709, 1.8521,0.1488
2021-08-30 10:56,2021-08-23 06:10,2021-09-09 06:10, 3.1066,0.6704, 1.8814,0.1304
2021-09-30 23:10,2021-09-15 04:40,2021-10-18 02:30, 5.4754,2.0849, 2.4981,0.3340
2021-10-27 14:56,2021-10-23 02:10,2021-11-04 02:30, 3.1350,0.3799, 3.1846,0.7579
2021-11-18 08:17,2021-11-09 02:10,2021-11-27 01:00,    nan,-2.6953, 3.3149,1.4672
2021-12-13 19:50,2021-12-02 00:40,2021-12-22 22:10, 5.1726,2.7180,    nan,-1.8942
2022-01-06 22:15,2021-12-24 23:10,2022-01-19 20:20,    nan,-7.1015,    nan,-15.4511
2022-02-02 10:08,2022-01-21 21:20,2022-02-16 18:30, 5.5137,5.6866, 4.2135,1.7276
2022-03-02 18:38,2022-02-18 19:30,2022-03-16 16:40, 4.3453,1.6128, 6.2310,15.8209
2022-03-27 17:11,2022-03-18 17:40,2022-04-08 15:10, 3.9267,1.3555, 4.2687,3.7775
2022-04-21 20:16,2022-04-13 14:50,2022-04-30 14:50, 4.0051,2.2343,    nan,-2.3178
