# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite. 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: Spectral irradiance of each band [nW/m^2/micron]. 
# 
#Date (UTC)     ,Band 01    ,Band 02    ,Band 03    ,Band 04    ,Band 05    ,Band 06    ,Band 07    ,Band 08    ,Band 09    ,Band 10    ,Band 11    ,Band 12    ,Band 13    ,Band 14    ,Band 15    ,Band 16    
2021-03-26 16:00, 2.1658E+00,-3.4840E+00, 1.1499E+00, 1.0679E+00, 9.1596E+00, 4.7348E+00, 1.0829E+00, 2.0369E-01, 2.4701E-01, 1.6154E-01, 6.8954E-02, 1.6618E-01, 1.1041E-01, 8.4690E-02, 1.4660E-01,-1.5752E-02
2021-03-31 15:40,-3.1677E-01,-4.1476E-01, 1.2237E+00, 4.5472E-01, 9.2482E+00, 4.7458E+00, 1.0504E+00, 1.6818E-01, 1.8900E-01, 3.5898E-02, 1.5776E-01, 7.6643E-03,-1.2409E-02, 8.8892E-02,-3.6514E-03, 9.0011E-02
2021-04-02 16:40,-1.0675E+00,-----------,-2.5543E-01, 1.5986E-01, 8.3907E+00, 5.5038E+00, 1.0530E+00, 1.2894E-01, 4.1840E-02, 5.8679E-02, 1.9681E-01, 1.6248E-01, 1.5535E-01, 7.6331E-02, 9.6153E-02,-2.1153E-01
2021-04-05 15:20,-1.6280E+00,-2.9159E+00, 2.5507E-01, 3.0409E+00, 8.1320E+00, 5.1880E+00, 1.0295E+00, 1.7566E-01, 1.4801E-01, 1.4958E-01, 2.1868E-02, 1.1122E-01, 5.8605E-03, 2.4616E-02, 2.2436E-01, 7.8760E-02
2021-04-07 16:20, 2.3279E+00,-1.0231E+00, 1.0030E+00, 1.6341E+00, 8.3800E+00, 5.0094E+00, 1.0039E+00, 1.9622E-01, 1.6622E-01, 8.2566E-02, 9.2015E-02, 8.5840E-02, 1.1132E-01, 5.7438E-02,-7.2760E-11,-1.7777E-01
2021-04-12 16:00,-1.2523E+00,-1.5208E-01, 3.3837E+00, 1.6694E+00, 7.2190E+00, 4.7342E+00, 9.6005E-01, 1.2707E-01, 2.2771E-02, 6.3306E-02, 2.5995E-01, 1.0313E-01, 1.8116E-01, 7.6438E-02,-2.4342E-03, 8.1010E-02
2021-04-17 15:40,-2.7920E+00,-3.2490E-01, 1.5265E+00, 5.6129E-01, 8.4552E+00, 4.6118E+00, 1.1581E+00,-----------,-----------,-----------,-----------,-----------,-----------, 9.0458E-02,-----------,-----------
2021-04-23 14:10, 1.2965E+00,-1.1890E+00,-1.2268E+00, 4.2487E+00, 8.6146E+00, 5.3060E+00, 1.1015E+00, 1.2707E-01, 2.7552E-01, 2.5189E-02, 2.9890E-01,-----------, 6.4674E-02,-4.7595E-02, 1.6902E-01, 5.4007E-02
2021-04-24 15:10,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
2021-04-28 13:50,-2.4613E+00, 3.5946E+00,-3.7683E+00, 3.2363E+00, 8.2929E+00, 4.8108E+00, 1.0209E+00, 2.6723E-01, 7.0589E-02, 6.7539E-02, 1.6401E-01,-4.5986E-02, 1.7581E-01, 6.8379E-03,-1.2171E-02, 4.2980E-01
