# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2017-10-28 01:50,    nan,    nan
2017-10-30 02:50, 5.1862, 5.0338
2017-11-04 02:30,    nan,    nan
2017-11-09 02:10,-------,-------
2017-11-10 01:00,-------,-------
2017-11-15 00:40, 3.7189, 3.5917
2017-11-20 00:20,    nan,    nan
2017-11-25 00:00, 5.2748, 3.1462
2017-11-27 01:00, 3.9313,    nan
2017-12-02 00:40, 3.5136,    nan
2017-12-07 00:20,    nan, 4.7887
2017-12-07 23:10,-------,-------
2017-12-12 22:50,    nan, 3.5072
2017-12-17 22:30, 2.8415, 2.6457
2017-12-22 22:10, 2.3208, 1.8459
2017-12-23 23:20,-------,-------
2017-12-24 23:10,    nan, 2.4673
2017-12-27 21:50, 6.9551, 4.7631
2017-12-29 22:50,    nan, 1.9297
2018-01-03 22:30, 8.7025,    nan
2018-01-08 22:10,-------,-------
2018-01-09 21:00, 3.3256, 1.9329
2018-01-14 20:40,    nan, 2.1039
2018-01-19 20:20, 3.1888, 2.2295
2018-01-21 21:20, 3.4135, 3.2825
2018-01-24 20:00, 3.0200, 2.3111
2018-01-26 21:00, 3.4733, 2.5627
2018-01-31 20:40, 3.7468, 5.4743
2018-02-05 20:20,    nan, 3.4427
2018-02-06 19:10,-------,-------
2018-02-11 18:50, 2.4864, 2.8116
2018-02-16 18:30, 3.9180, 2.3753
2018-02-18 19:30, 2.5649, 1.4390
2018-02-21 18:10, 3.8049, 5.4581
2018-02-23 19:10, 2.2835, 1.9441
2018-02-28 18:50, 2.6651, 2.3905
2018-03-05 18:30,    nan,    nan
2018-03-11 17:00, 3.4822,    nan
2018-03-16 16:40, 2.9365, 3.3804
2018-03-18 17:40,-------, 2.9078
2018-03-21 16:20,    nan,    nan
2018-03-23 17:20, 2.7935, 2.5645
2018-03-28 17:00,    nan, 2.6229
2018-04-02 16:40,    nan, 5.5686
2018-04-08 15:10,    nan, 3.7935
2018-04-13 14:50, 2.9802, 2.8550
2018-04-18 14:30,    nan,    nan
2018-04-20 15:30, 2.9499,    nan
2018-04-23 14:10,    nan, 3.1273
2018-04-25 15:10,    nan, 2.7369
2018-04-30 14:50, 5.2982,    nan
2018-05-05 14:30, 3.3142, 3.2397
2018-05-06 13:20,-------,-------
2018-05-11 13:00,    nan, 2.4590
2018-05-16 12:40,    nan,    nan
2018-05-18 13:40,    nan,    nan
2018-05-21 12:20, 2.9499, 2.7358
2018-05-23 13:20, 3.8352,    nan
2018-05-28 13:00,    nan, 2.4446
2018-06-02 12:40,    nan,    nan
2018-06-03 11:30,-------,-------
2018-06-08 11:10, 5.4231, 2.5077
2018-06-13 10:50,    nan, 2.3810
2018-06-18 10:30,    nan, 3.6851
2018-06-20 11:30,    nan,    nan
2018-06-25 11:10, 4.6444,    nan
2018-06-30 10:50, 4.4125, 2.4947
2018-07-06 09:20,    nan,    nan
2018-07-11 09:00,    nan, 2.6160
2018-07-16 08:40, 3.9863,    nan
2018-07-18 09:40, 3.2623, 2.5918
2018-07-21 08:20,    nan,    nan
2018-07-23 09:20,    nan,    nan
2018-07-28 09:00, 3.7872,    nan
2018-08-03 07:30, 2.9311, 3.7010
2018-08-08 07:10, 4.1222, 2.7300
2018-08-13 06:50,    nan,    nan
2018-08-15 07:50,    nan,    nan
2018-08-18 06:30, 2.4707, 2.7621
2018-08-20 07:30, 2.3997, 2.8819
